"iyear","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","attacktype1","attacktype1_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","gname","motive","guncertain1","weapsubtype1","weapsubtype1_txt"
1998,160,"Philippines",5,"Southeast Asia","Basilan","Abungabung",6.486859,121.913314,1,3,"Bombing/Explosion",14,"Private Citizens & Property",75,"Village/City/Town/Suburb","Village of Abungabung","Village of Abungabung, Philippines","Abu Sayyaf Group (ASG)","In retaliation for the death of the Abu Sayyaf Group (ASG) leader, Wahid Saylani.",0,5,"Unknown Gun Type"
1998,205,"Thailand",5,"Southeast Asia","Bangkok (District)","Bangkok",13.723419,100.476232,1,3,"Bombing/Explosion",19,"Transportation",103,"Bridge/Car Tunnel","Thai Transportation Infrastructure","Bridge","Pattani United Liberation Organization (PULO)","Unknown",1,28,"Dynamite/TNT"
1998,36,"Cambodia",5,"Southeast Asia","Phom Penh (Municipality)","Phnom Penh",11.558831,104.917445,1,1,"Assassination",2,"Government (General)",18,"Government Personnel (excluding police, military)","Cambodian Justice Ministry","Chem Snguon, Justice Minister","Unknown","Unknown",0,7,"Grenade"
1998,36,"Cambodia",5,"Southeast Asia","Siem Reap (Province)","Siem Reap",13.344637,103.847055,4,2,"Armed Assault",2,"Government (General)",19,"Election-related","National Election Committee","Election Workers","Khmer Rouge","Unknown",0,2,"Automatic Weapon"
1998,36,"Cambodia",5,"Southeast Asia","Phom Penh (Municipality)","Phnom Penh",11.558831,104.917445,1,3,"Bombing/Explosion",2,"Government (General)",18,"Government Personnel (excluding police, military)","Cambodian Interior Ministry","Cambodian Interior Ministry in Phnom Penh, Cambodia","Unknown","Unknown",0,7,"Grenade"
1998,160,"Philippines",5,"Southeast Asia","Basilan","Isabela",6.681959,121.985477,1,2,"Armed Assault",3,"Police",22,"Police Building (headquarters, station, school)","Philippines Police","Police public assistance center in Isabela, Philippines","Abu Sayyaf Group (ASG)","Unknown",1,5,"Unknown Gun Type"
1998,160,"Philippines",5,"Southeast Asia","Zamboanga del Norte","Sibuco",7.291386,122.064633,1,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Civilians","Civilians in Sibuco","Abu Sayyaf Group (ASG)","Unknown",1,5,"Unknown Gun Type"
1998,160,"Philippines",5,"Southeast Asia","Tawi Tawi","Sitangkai",4.662801,119.399601,1,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Civilians","Civilians in Sitangkai","Abu Sayyaf Group (ASG)","Unknown",1,5,"Unknown Gun Type"
1998,160,"Philippines",5,"Southeast Asia","Zamboanga del Sur","Naga",7.807908,122.699403,1,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",68,"Named Civilian","Civilian","Rolando Canes","Moro Islamic Liberation Front (MILF)","Unknown",1,5,"Unknown Gun Type"
1998,160,"Philippines",5,"Southeast Asia","Zamboanga del Sur","Diplahan",7.746118,122.967087,1,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",68,"Named Civilian","Civilian","Carlos Gemarino","Abu Sayyaf Group (ASG)","To obtain the ransom money.",0,5,"Unknown Gun Type"
1998,160,"Philippines",5,"Southeast Asia","Zamboanga del Sur","Unknown",7.829613,123.436756,4,6,"Hostage Taking (Kidnapping)",2,"Government (General)",18,"Government Personnel (excluding police, military)","Government Official","Dr. Carlos Hemarino, municipal councilor of Gitlahan","Moro Islamic Liberation Front (MILF)","To obtain the ransom money.",1,5,"Unknown Gun Type"
1998,160,"Philippines",5,"Southeast Asia","Misamis Oriental","Cagayan de Oro",8.483379,124.646575,1,3,"Bombing/Explosion",19,"Transportation",101,"Bus Station/Stop","Philippine Busing System","Bus terminal in Cagayan de Oro, Philippines","Unknown","Unknown",0,16,"Unknown Explosive Type"
1998,160,"Philippines",5,"Southeast Asia","Cagayan","Baculud",17.862691,121.716797,1,3,"Bombing/Explosion",19,"Transportation",101,"Bus Station/Stop","Philippine Busing System","Bus terminal in Bacolod, Philippines","Unknown","Unknown",0,16,"Unknown Explosive Type"
1998,93,"Indonesia",5,"Southeast Asia","Manufahi (District)","Unknown",-9.017001,125.829397,3,2,"Armed Assault",3,"Police",22,"Police Building (headquarters, station, school)","Military Sector Command","Military Sector Command in the Manufahi district","Unknown","Unknown",0,5,"Unknown Gun Type"
1998,160,"Philippines",5,"Southeast Asia","Zamboanga del Norte","Dipolog City",8.588406,123.33978,1,3,"Bombing/Explosion",19,"Transportation",99,"Bus (excluding tourists)","Philippine Busing System","Passenger bus in in Dipolog City, Philippines","Unknown","Unknown",0,16,"Unknown Explosive Type"
1998,160,"Philippines",5,"Southeast Asia","Zamboanga del Norte","Plaridel",8.588406,123.33978,2,3,"Bombing/Explosion",19,"Transportation",101,"Bus Station/Stop","Philippine Busing System","Bus terminal in Plaridel, Philippines","Unknown","Unknown",0,16,"Unknown Explosive Type"
1998,93,"Indonesia",5,"Southeast Asia","East Java (Province)","Madura",-7.166667,113.466667,4,3,"Bombing/Explosion",2,"Government (General)",18,"Government Personnel (excluding police, military)","Madura Chief","Muhammad Said, Madura Chief in Indonesia","Unknown","Unknown",0,16,"Unknown Explosive Type"
1998,160,"Philippines",5,"Southeast Asia","Zamboanga del Sur","Zamboanga City",6.919188,122.085472,1,3,"Bombing/Explosion",14,"Private Citizens & Property",74,"Marketplace/Plaza/Square","Zamboanga Shopping Center","Shopping center in Zamboanga, Mindanao, Philippines.","Abu Sayyaf Group (ASG)","Unknown",1,7,"Grenade"
1999,160,"Philippines",5,"Southeast Asia","Sulu","Jolo",6.05519,121.001323,1,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Civilians","Civilians in Jolo, Philippines","Abu Sayyaf Group (ASG)","Possibly to avenge the recent death of Abdurajak Abubakar Janjalani",1,7,"Grenade"
1999,160,"Philippines",5,"Southeast Asia","Basilan","Isabela",6.681959,121.985477,1,3,"Bombing/Explosion",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Philippines Military","Philippines soldiers at the Queen Bee restaurant in Isabela, Philippines","Abu Sayyaf Group (ASG)","The attack was suspected to have been carried out by Abu Sayyaf guerrillas avenging the recent death of its chieftain in a clash with authorities.",1,7,"Grenade"
1999,160,"Philippines",5,"Southeast Asia","Bukidnon","Impasug-ong district",8.304936,125.003254,3,3,"Bombing/Explosion",19,"Transportation",99,"Bus (excluding tourists)","Rural Transit Mindanao Company Bus","Rural Transit Mindanao Company bus in Impasugong, Philippines","Abu Sayyaf Group (ASG)","Unknown",1,16,"Unknown Explosive Type"
1999,160,"Philippines",5,"Southeast Asia","Davao del Sur","Davao City",7.096653,125.634543,1,3,"Bombing/Explosion",19,"Transportation",99,"Bus (excluding tourists)","Weena Bus","A Weena bus parked on Sitbo Boulevard in Davao, Philippines","Abu Sayyaf Group (ASG)","Unknown",1,16,"Unknown Explosive Type"
1999,160,"Philippines",5,"Southeast Asia","Davao del Sur","Davao City",7.05662,125.601853,1,3,"Bombing/Explosion",19,"Transportation",99,"Bus (excluding tourists)","Weena Bus","A Weena bus parked at the Ecoland Bus Terminal in Davao, Philippines","Abu Sayyaf Group (ASG)","Unknown",1,16,"Unknown Explosive Type"
1999,160,"Philippines",5,"Southeast Asia","Basilan","Maluso",6.556828,121.883449,1,3,"Bombing/Explosion",14,"Private Citizens & Property",69,"Religion Identified","Civilians","Christian family in Maluso, Philippines","Unknown","Unknown",0,7,"Grenade"
1999,205,"Thailand",5,"Southeast Asia","Bangkok (District)","Bangkok",13.727896,100.524124,4,3,"Bombing/Explosion",22,"Violent Political Party",110,"Party Office/Facility","Democrat Party (Thailand)","Headquarters","Unknown","The government believed the incident was intended to create political chaos prior to the censure debate against the cabinet of Prime Minister Chuan Leekpai, scheduled for Jan. 27-28, 1999.",0,16,"Unknown Explosive Type"
1999,160,"Philippines",5,"Southeast Asia","Sultan Kudarat","Tacurong",6.690864,124.680783,1,3,"Bombing/Explosion",14,"Private Citizens & Property",79,"Public Area (garden, parking lot, garage, beach, public building, camp)","Civilians","Civilians at a carnival in Tacurong, Philippines","Unknown","Unknown",0,7,"Grenade"
1999,160,"Philippines",5,"Southeast Asia","Davao del Norte","Carmen",7.362014,125.70565,1,6,"Hostage Taking (Kidnapping)",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Philippine Army","Brigadier General Victor Obillo","New People's Army (NPA)","For the release of Amado Payot, a guerrilla leader.",0,5,"Unknown Gun Type"
1999,36,"Cambodia",5,"Southeast Asia","Phnom Penh (Municipality)","Phnom Penh",11.558831,104.917445,1,3,"Bombing/Explosion",14,"Private Citizens & Property",77,"Laborer (General)/Occupation Identified","Civilians","Two Vietnamese workers in Phnom Penh, Cambodia","Unknown","Unknown",0,7,"Grenade"
1999,36,"Cambodia",5,"Southeast Asia","Phnom Penh (Municipality)","Phnom Penh",11.558831,104.917445,1,3,"Bombing/Explosion",1,"Business",7,"Retail/Grocery/Bakery","Tuol Kouk Brothel","Tuol Kouk Brothel in a slum area of Phnom Penh, Cambodia","Unknown","Unknown",0,7,"Grenade"
1999,36,"Cambodia",5,"Southeast Asia","Kampot (Province)","Trapeang Chrey",11.025766,105.071011,1,2,"Armed Assault",19,"Transportation",100,"Train/Train Tracks/Trolley","Cambodian Railway System","Train from Phnom Penh to Kampot","Khmer Rouge","Unknown",1,2,"Automatic Weapon"
1999,160,"Philippines",5,"Southeast Asia","Basilan","Isabela",6.681959,121.985477,1,3,"Bombing/Explosion",1,"Business",7,"Retail/Grocery/Bakery","Joy Store","Joy Store in Isabela, Philippines","Abu Sayyaf Group (ASG)","Unknown",1,7,"Grenade"
1999,160,"Philippines",5,"Southeast Asia","Basilan","Isabela",6.681959,121.985477,1,3,"Bombing/Explosion",14,"Private Citizens & Property",75,"Village/City/Town/Suburb","Isabela City","Isabela City","Abu Sayyaf Group (ASG)","Unknown",1,16,"Unknown Explosive Type"
1999,160,"Philippines",5,"Southeast Asia","Zamboanga del Sur","Margosatubig",7.579152,123.16669,1,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",68,"Named Civilian","Civilian","Luis Toh, a Chinese-Filipino businessman","Moro Islamic Liberation Front (MILF)","Unknown",1,2,"Automatic Weapon"
1999,160,"Philippines",5,"Southeast Asia","North Cotabato","Alamada",7.333211,124.56839,1,2,"Armed Assault",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Civilians","Civilians in Alamada, Philippines","Moro Islamic Liberation Front (MILF)","Unknown",1,2,"Automatic Weapon"
1999,160,"Philippines",5,"Southeast Asia","Agusan del Sur","La Paz",8.272934,125.799743,1,2,"Armed Assault",4,"Military",39,"Paramilitary","Citizens Armed Forces Geographical Unit","A pro-government militia outpost manned by the Citizens Armed Forces Geographical Unit","New People's Army (NPA)","The removal of five infantry battalions and two army special forces units from four southern provinces.",0,5,"Unknown Gun Type"
1999,160,"Philippines",5,"Southeast Asia","Albay","Liguan",13.24175,124.041936,1,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Civilians","Residents of Laguan Village celebrating a fiesta","Unknown","Unknown",0,16,"Unknown Explosive Type"
1999,93,"Indonesia",5,"Southeast Asia","Jakarta (Special Capital Region)","Jakarta",-6.208821,106.846046,1,3,"Bombing/Explosion",15,"Religious Figures/Institutions",86,"Place of Worship","Istiqlal Mosque","The Istiqlal Mosque in Jakarta","Unknown","Unknown",0,14,"Time Fuse"
1999,93,"Indonesia",5,"Southeast Asia","Irian Jaya (Province)","Mur II",-3.903211,134.432709,1,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Civilians","Villagers working on State Plantation Corporation V in Arso and living in Mur II village","Unknown","Unknown",0,4,"Rifle/Shotgun (non-automatic)"
1999,93,"Indonesia",5,"Southeast Asia","Dili (District)","Dili",-8.55902,125.578194,1,2,"Armed Assault",14,"Private Citizens & Property",70,"Student","Civilians","A pro-independence East Timorese student and a local villager","Aitarak Militia","Unknown",1,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","Dili (District)","Santa Cruz",-8.556944,125.581667,1,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","Civilians","East Timorese pro-Independence supporters","Besi Merah Putih Militia","The pro-Indonesia attackers were answering the call of the Aitarak Militia for help in suppressing pro-Independence East Timorese civilians.",0,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","Dili (District)","Audian",-8.560655,125.584969,2,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","Civilians","East Timorese pro-Independence supporters","Besi Merah Putih Militia","The pro-Indonesia attackers were answering the call of the Aitarak Militia for help in suppressing pro-Independence East Timorese civilians.",0,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Special Territory)","Pulau Rungkom",5.237222,96.9925,1,3,"Bombing/Explosion",4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Indonesian Army","Headquarters of the Air Defence Battalion in Pulau Rungkom","Unknown","Unknown",0,7,"Grenade"
1999,93,"Indonesia",5,"Southeast Asia","Dili (District)","Dili",-8.55902,125.578194,1,2,"Armed Assault",14,"Private Citizens & Property",76,"House/Apartment/Residence","Civilians","Houses of people living in Dili","Aitarak Militia","Unknown",1,18,"Arson/Fire"
1999,160,"Philippines",5,"Southeast Asia","Basilan","Tipo-Tipo",6.500297,122.119934,1,2,"Armed Assault",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Philippine Army","Philippine Army Sergeant Antonio Dacanay","Moro Islamic Liberation Front (MILF)","Unknown",1,5,"Unknown Gun Type"
1999,160,"Philippines",5,"Southeast Asia","Maguindanao","Buldon",7.514969,124.372309,1,2,"Armed Assault",4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Philippine Army","Two Philippine Army posts located in the town of Buldon","Moro Islamic Liberation Front (MILF)","Unknown",1,11,"Projectile (rockets, mortars, RPGs, etc.)"
1999,93,"Indonesia",5,"Southeast Asia","Jakarta (Special Capital Region)","Jakarta",-6.208821,106.846046,1,7,"Facility/Infrastructure Attack",12,"NGO",61,"Domestic NGO","Urban Poor Consortium (UPC)","Urban Poor Consortium (UPC) Secretariat office in Jakarta","People's Sovereignty Party (PDR)","The callers threatened to attack and burn down the Secretariat if the UPC continued with a plan to unveil malfeasance on the disbursement of the safety net fund later that afternoon.",0,21,"Blunt Object"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Province)","West Aceh Regency",4.15405,96.143965,4,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers","Indonesian Police","Two Indonesian Police Officers, who were members of a mobile unit in Aceh","Separatists","Unknown",1,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","South Sulawesi (Province)","Ujungpandang",-5.134485,119.41877,1,2,"Armed Assault",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","National Mandate Party (PAN)","National Mandate Party (PAN) members","Unknown","Unknown",0,23,"Knife or Other Sharp Object"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Province)","Lingkok",5.54999,95.316667,4,2,"Armed Assault",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Indonesian Military","Lamlho Military Sector Command soldiers","Unknown","Unknown",0,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Province)","Keudee Geureubak",4.358267,98.175594,1,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",75,"Village/City/Town/Suburb","Village of Keudee Geureubak","Village of Keudee Geureubak","Separatists","Unknown",1,2,"Automatic Weapon"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Province)","Pidie",5.380556,95.954722,1,2,"Armed Assault",4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Indonesian Military","Kota Bakti Military Sector Command","Unknown","Unknown",0,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Province)","Trumon",2.64413,97.790807,3,2,"Armed Assault",2,"Government (General)",19,"Election-related","Election Ballots","Truck transporting ballot papers for the upcoming election","Unknown","Unknown",0,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Province)","Lamno Sub-district",5.509095,95.32855,1,2,"Armed Assault",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Indonesian Army","Infantry Battalion 112 of Dharma Java","Unknown","Unknown",0,5,"Unknown Gun Type"
1999,160,"Philippines",5,"Southeast Asia","Zamboanga del Sur","Zamboanga City",6.915495,122.082246,1,6,"Hostage Taking (Kidnapping)",18,"Tourists",97,"Tourist","Tourists","Lieven de la Marche","Abu Sayyaf Group (ASG)","Unknown",0,2,"Automatic Weapon"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Province)","Mount Geurute",5.55,95.316667,4,2,"Armed Assault",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Indonesian National Armed Forces (TNI)","Indonesian National Armed Forces (TNI) soldiers","Unknown","Unknown",0,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","Liquica (District)","Manufatia",-8.664722,125.358333,1,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",68,"Named Civilian","Civilian","Hilario Gustavo","Separatists","Unknown",1,23,"Knife or Other Sharp Object"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Province)","Cotblang",5.1234,97.3503,1,2,"Armed Assault",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Indonesian National Armed Forces (TNI)","Indonesian National Armed Forces (TNI) soldiers from C Company, 113 Battalion","Free Aceh Movement (GAM)","Unknown",0,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","Dili (District)","Dili",-8.55902,125.578194,1,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers","Comoro Police Mobile Brigade","Sergeant Made Roditha","Unknown","Unknown",0,23,"Knife or Other Sharp Object"
1999,138,"Myanmar",5,"Southeast Asia","Kayin (State)","Natyekan",21.92427,95.361609,1,3,"Bombing/Explosion",19,"Transportation",99,"Bus (excluding tourists)","Civilians","Civilians","Karen National Union","Unknown",0,8,"Land Mine"
1999,93,"Indonesia",5,"Southeast Asia","Liquica (District)","Sare",-8.758333,125.2075,1,2,"Armed Assault",7,"Government (Diplomatic)",47,"International Organization (peacekeeper, aid agency, compound)","United Nations humanitarian mission in Timor (UNAMET)","UNAMET Convoy on the road from Sare in Hatolia, Timor-Leste","Besi Merah Putih Militia","Members of Besi Merah Putih believed that aid was being distributed unfairly.",0,2,"Automatic Weapon"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Province)","Samudera District",5.118257,97.210942,1,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers","Aceh Auxiliary Police Force","Aceh Auxiliary Police Officer in Samudera District, Indonesia","Separatists","Unknown",1,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Province)","Krueng Raya",5.589161,95.360966,1,7,"Facility/Infrastructure Attack",8,"Educational Institution",49,"School/University/Educational Building","Indonesian Ministry of Education and Culture","State High School in Krueng Raya, Indonesia","Unknown","Unknown",0,18,"Arson/Fire"
1999,93,"Indonesia",5,"Southeast Asia","North Aceh (Regency)","Matangkuli",5.034886,97.270681,1,2,"Armed Assault",4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","North Aceh Military District Command","North Aceh Military District Command on patrol in Matangkuli sub-district, Indonesia","Free Aceh Movement (GAM)","Unknown",1,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","Cova-lima (District)","Lor",-8.503889,126.236667,1,8,"Unarmed Assault",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti- Integrationists (Civilians)","Anti-Integrationists in Lor, Timor-Leste","Mahidi","Unknown",0,21,"Blunt Object"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Province)","Baktia",5.105307,97.405357,1,2,"Armed Assault",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Indonesian Armed Forces (TNI)","Indonesian Armed Forces (TNI) in Alue Pute Market in Baktia, Indonesia","Unknown","Unknown",0,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","Dili (District)","Dili",-8.55902,125.578194,1,7,"Facility/Infrastructure Attack",19,"Transportation",99,"Bus (excluding tourists)","Public Bus","Public Bus traveling from Banda Aceh to Medan, Indonesia","Unknown","Unknown",0,18,"Arson/Fire"
1999,93,"Indonesia",5,"Southeast Asia","Pidie (Regency)","Reng Krueng",4.843278,96.128083,3,2,"Armed Assault",4,"Military",29,"Military Unit/Patrol/Convoy","Indonesian Anti-Riot Troops","Indonesian Anti-Riot troops on patrol in Reng Krueng, Indonesia","Free Aceh Movement (GAM)","Unknown",1,2,"Automatic Weapon"
1999,205,"Thailand",5,"Southeast Asia","Bangkok (District)","Bangkok",13.727896,100.524124,4,3,"Bombing/Explosion",10,"Journalists & Media",53,"Newspaper Journalist/Staff/Facility","Khao Sod Daily","Khao Sod Headquarters in Bang Khen, Thailand","Unknown","It was suspected that the newspaper was attacked due to straight-forward reporting regarding political parties.",0,7,"Grenade"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Province)","Blang Bidok",5.049009,97.27198,1,6,"Hostage Taking (Kidnapping)",1,"Business",7,"Retail/Grocery/Bakery","Telkom","Employees of Telkom in Blang Bidok, Indonesia","Unknown","Unknown",0,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","Dili (District)","Dili",-8.55902,125.578194,1,2,"Armed Assault",14,"Private Citizens & Property",74,"Marketplace/Plaza/Square","Civilians","Civilians at Dili Market, Timor-Leste","Unknown","Officials suspected that the attack was related to the arrival of Indonesian Islamic Leader, Abdurrahman ""Gus Dur"" Wahid.",0,5,"Unknown Gun Type"
1999,205,"Thailand",5,"Southeast Asia","Narathiwat (Province)","Narathiwat",6.424468,101.815057,1,7,"Facility/Infrastructure Attack",8,"Educational Institution",49,"School/University/Educational Building","Thai Education System","School in Narathiwat, Thailand","Unknown","To drive a wedge between people with different religions and cultures.",0,20,"Gasoline or Alcohol"
1999,93,"Indonesia",5,"Southeast Asia","Aceh (Province)","Unknown",5.545248,95.32401,4,2,"Armed Assault",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Indonesian Military","Indonesia Military in Aceh Province, Indonesia","Unknown","Unknown",0,5,"Unknown Gun Type"
1999,160,"Philippines",5,"Southeast Asia","Basilan","Lamitan",6.661451,122.14077,1,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",68,"Named Civilian","Civilian","Wilmarie Ira Furigay, the granddaughter of Wilfredo Furigay, a former town mayor in Lamitan, Philippines","Abu Sayyaf Group (ASG)","To obtain ransom money.",1,5,"Unknown Gun Type"
1999,160,"Philippines",5,"Southeast Asia","Metropolitan Manila","Manila",14.55655,121.023144,1,3,"Bombing/Explosion",2,"Government (General)",21,"Government Building/Facility/Office","National Bureau of Investigation (NBI)","Special Investigation Division (SID) office at the NBI compound in Manila, Philippines","Unknown","Unknown",0,17,"Other Explosive Type"
1999,138,"Myanmar",5,"Southeast Asia","Yangon (Division)","Yangon",16.799582,96.150907,1,3,"Bombing/Explosion",4,"Military",35,"Military Transportation/Vehicle (excluding convoys)","Myanmar Military","Car of a Myanmar military officer in Yangon, Myanmar","Unknown","Unknown",0,7,"Grenade"
1999,93,"Indonesia",5,"Southeast Asia","Dili (District)","Dili",-8.55902,125.578194,1,2,"Armed Assault",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Town of Dili","Civilians and Property in Dili","Pro-Indonesia extremists","Unknown",0,23,"Knife or Other Sharp Object"
1999,93,"Indonesia",5,"Southeast Asia","East Nusa Tenggara (Province)","Atambua",-9.104512,124.897553,1,2,"Armed Assault",7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","United Nations","United Nations  High Commissioner for Refugees (UNHCR) employee","Unknown","Unknown",0,23,"Knife or Other Sharp Object"
1999,93,"Indonesia",5,"Southeast Asia","Dili (District)","Dili",-8.55902,125.578194,1,7,"Facility/Infrastructure Attack",1,"Business",8,"Hotel/Resort","Mahkota Hotel","Mahkota Hotel in Dili","Pro-Indonesia extremists","Unknown",0,5,"Unknown Gun Type"
1999,93,"Indonesia",5,"Southeast Asia","Liquica (District)","Liquica",-8.583333,125.35,1,2,"Armed Assault",7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","United Nations","UN Worker","Unknown","Unknown",0,5,"Unknown Gun Type"
